BINNED_PROPERTY_DAMAGE,prob_0 to 2.5k,prob_100k to 200k,prob_10k to 20k,prob_2.5k to 5k,prob_200k to 300k,prob_20k to 30k,prob_300k to 400k,prob_30k to 40k,prob_400k to 500k,prob_40k to 50k,prob_500k to 600k,prob_50k to 75k,prob_5k to 10k,prob_600k to 700k,prob_700k to 800k,prob_75k to 100k,prob_900k to 1B,prob_greater than 1B
0 to 2.5k,0.9947728515,6.0672100000000005e-05,0.0017348772,0.0018388078,4.9725e-05,0.0007009263,2.8456e-06,4.8648e-05,2.2795999999999997e-06,0.0001330947,2.794e-07,1.8283200000000005e-05,0.0005083955,3.173e-07,4.477e-07,0.0001192698,4.5289e-06,3.8216e-06
0 to 2.5k,0.9990924597,0.0001122908,0.00011427630000000001,0.0001378157,0.00011118630000000001,4.7433400000000006e-05,2.07212e-05,2.0464600000000004e-05,1.851e-06,4.0764e-05,5.724e-07,5.061390000000001e-05,5.8363000000000003e-05,5.865999999999999e-07,1.3182e-06,0.0001807898,6.290899999999999e-06,2.106e-06
0 to 2.5k,0.995747149,0.0002430641,0.0002617299,0.0015786214,0.0004532658,0.00014965480000000002,5.6238000000000006e-05,0.0001392656,1.29751e-05,0.00034481590000000003,3.2313999999999997e-06,7.712010000000001e-05,0.00039146870000000004,3.6174e-06,5.8415e-06,0.0004637663,3.34666e-05,3.46834e-05
0 to 2.5k,0.9922832847,0.0001692237,0.0029986696,0.002276887,0.0002726075,0.0008671665,1.62614e-05,0.00014610020000000001,1.00176e-05,0.0003439149,2.5402e-06,4.31173e-05,0.00026475880000000003,3.0377999999999995e-06,3.5188e-06,0.0002506733,2.33492e-05,2.4966300000000002e-05
0 to 2.5k,0.9767522216000001,0.0019001085000000001,0.0017478997,0.0071836114000000005,0.0012183742,0.0039210939,0.0008102214,0.00026189000000000003,0.0001602904,0.0007793777000000001,2.34387e-05,0.0006762758,0.0034162479,2.38104e-05,4.0207600000000004e-05,0.000955718,9.521530000000001e-05,3.39488e-05
0 to 2.5k,0.9960975051000001,0.0001968486,0.0005375785,0.0017027897000000001,0.0001677147,0.000502327,3.0849900000000004e-05,0.0001332077,1.29566e-05,8.283340000000001e-05,5.0327e-06,4.65039e-05,0.00023849800000000002,5.639199999999999e-06,3.9282e-06,0.0001649079,2.83294e-05,4.25043e-05
0 to 2.5k,0.9981154203,0.0001179437,0.0002481035,0.0005433492,0.000129115,0.0001427656,1.5282200000000004e-05,5.62027e-05,3.6532999999999994e-06,8.093170000000001e-05,1.2051e-06,4.9196e-05,0.0002351978,1.2934e-06,1.2666999999999999e-06,0.0002214348,1.4953000000000002e-05,2.27371e-05
0 to 2.5k,0.998904109,3.832050000000001e-05,0.0002406634,0.0003984465,4.9030800000000005e-05,0.0001724642,5.2526e-06,2.8174500000000003e-05,2.2370999999999997e-06,1.96298e-05,3.429e-07,6.8382e-06,5.717530000000001e-05,3.801e-07,3.7759999999999994e-07,7.01447e-05,3.9416e-06,2.5581e-06
0 to 2.5k,0.7987385392,0.0242877435,0.0206051338,0.0087372679,0.0216106065,0.0115313567,0.01759528,0.0033990941,0.0041288976000000005,0.0106712831,0.0058380584,0.0057293405,0.0069309226,0.0039858618000000005,0.0028039080000000004,0.0093261795,0.002285942,0.0417943671
0 to 2.5k,0.9987578392,3.8075000000000004e-05,0.00034859500000000005,0.0004842186,6.655960000000001e-05,7.27254e-05,5.4256e-06,2.76678e-05,1.6421000000000001e-06,5.2074600000000005e-05,4.4989999999999997e-07,1.2066100000000001e-05,5.80338e-05,4.525e-07,5.163999999999999e-07,6.24618e-05,9.1948e-06,2.0745e-06
0 to 2.5k,0.9867329001,0.00042921480000000003,0.00045335870000000003,0.0074285367,0.00045553820000000003,0.00034498,6.275020000000001e-05,0.000515309,3.3779500000000004e-05,0.00039623260000000004,9.546099999999998e-06,0.0001682897,0.0022141472,9.6468e-06,1.05835e-05,0.0005724406,7.43e-05,8.8334e-05
0 to 2.5k,0.9938307405000001,0.0003471431,0.0012935327,0.0009689342,0.0003165196,0.0009518212,3.51937e-05,6.053770000000001e-05,7.1082e-06,0.0006428247,2.1136e-06,0.00023667190000000002,0.0006430133,2.4954999999999997e-06,3.8197e-06,0.0005718364000000001,1.64765e-05,6.93525e-05
0 to 2.5k,0.9411251545,0.0014086677,0.0129682058,0.0206271,0.0012727404,0.0056507159000000005,0.0001964135,0.0011059596,0.0001435888,0.0030131873,2.3009300000000003e-05,0.000683629,0.008076386500000001,2.4492000000000005e-05,5.532740000000001e-05,0.0033484537,0.0001808911,9.616690000000001e-05
0 to 2.5k,0.9978724718,0.0002172688,9.4543e-05,0.0006995788,0.0001198634,9.408060000000001e-05,2.9021000000000002e-05,0.00010361990000000001,5.265699999999999e-06,6.26356e-05,3.4149e-06,8.72095e-05,0.0003048583,2.92e-06,2.4071e-06,0.0002371336,2.8000200000000003e-05,3.56729e-05
0 to 2.5k,0.9986490607,7.45595e-05,0.0001629173,0.0003700169,3.0686900000000006e-05,0.00024590020000000003,6.3348e-06,1.5267300000000002e-05,1.4675e-06,3.2518400000000004e-05,2.4939999999999994e-07,3.19907e-05,0.0002831399,2.564e-07,3.402e-07,9.038250000000001e-05,2.9521e-06,2.182e-06
0 to 2.5k,0.9904556870000001,0.0003887753,0.0019357258000000002,0.0036643017000000003,0.00041157790000000003,0.0012709759,4.221770000000001e-05,0.0002759922,2.4915700000000006e-05,0.0004084876,8.099500000000001e-06,9.66176e-05,0.0004922237,1.0118800000000002e-05,8.1635e-06,0.00034484960000000003,4.93127e-05,0.0001116176
0 to 2.5k,0.9970812201,0.0002255814,0.0001899437,0.0009919071,0.00018879820000000002,0.00024445120000000004,5.002410000000001e-05,0.0001165497,1.2556500000000003e-05,7.770050000000001e-05,4.4299e-06,9.478880000000002e-05,0.00036500540000000003,4.7647e-06,3.6475e-06,0.00027208180000000003,3.1866600000000004e-05,4.45541e-05
0 to 2.5k,0.9985800982,6.82447e-05,0.0002909565,0.00045710060000000004,3.14273e-05,0.0001319357,2.6263e-06,2.3197200000000006e-05,6.361999999999999e-07,6.26955e-05,1.175e-07,1.7691800000000002e-05,0.0001697492,1.308e-07,2.5700000000000004e-07,0.00015902600000000002,2.2923e-06,1.8839e-06
0 to 2.5k,0.9892404675,0.0003713799,0.0003234932,0.0051139859000000005,0.0004529463,0.0001617036,4.18781e-05,0.00019038,1.2708300000000002e-05,0.0010116083,2.2572e-06,0.0001403945,0.0021006719,2.5929e-06,6.5659999999999995e-06,0.0007703731,2.6906200000000003e-05,2.9669500000000005e-05
0 to 2.5k,0.9970685840000001,0.000433606,0.0004441116,0.0003898137,0.0001613197,0.0007588441,3.5658200000000004e-05,5.29239e-05,5.9682e-06,0.0001058134,1.8324e-06,3.8186100000000004e-05,9.818200000000002e-05,1.7477e-06,4.3383000000000005e-06,0.0003796777,6.8394e-06,1.28415e-05
0 to 2.5k,0.9670630097,0.0007438246,0.0023721666,0.0156891365,6.41187e-05,0.0015449104,3.54118e-05,8.23795e-05,5.1540999999999995e-06,0.001112907,3.7999999999999996e-07,0.0006475964,0.0102452328,6.156e-07,1.5519e-06,0.0003738281,1.64937e-05,1.3456e-06
0 to 2.5k,0.9965379238000001,0.00015972840000000001,0.00048380490000000004,0.0011745977000000001,0.0002683748,0.0002419395,2.7966600000000004e-05,0.0001573226,1.09896e-05,0.0001659706,4.1361e-06,6.228390000000001e-05,0.0002895888,5.2019999999999995e-06,3.9838e-06,0.0003045622,3.58332e-05,6.554870000000001e-05
0 to 2.5k,0.9959852695,0.0001407267,0.0001257092,0.0017620255000000001,0.0001840892,0.0001578846,2.9706100000000003e-05,0.0001254228,8.4158e-06,0.0002787787,1.3980999999999998e-06,4.4688400000000004e-05,0.0007965651,1.2904e-06,3.1779e-06,0.0003266647,1.3391500000000002e-05,1.4804600000000002e-05
0 to 2.5k,0.9979737401000001,0.00025375450000000003,0.00013411800000000002,8.356450000000001e-05,0.00041229140000000004,7.20168e-05,0.0006576150000000001,4.5343e-06,1.4064800000000001e-05,0.00012029570000000001,4.5358e-06,3.606180000000001e-05,9.460140000000001e-05,2.132e-06,5.0762e-06,0.0001176915,4.1123e-06,9.8283e-06
0 to 2.5k,0.9963884354,0.0003677905,0.0002400484,0.0012967603,0.0002389275,0.000233639,0.00015229690000000002,5.1827300000000004e-05,1.4638500000000002e-05,0.0002063942,3.4035e-06,0.0002123961,0.0003202882,3.6298999999999998e-06,5.8581e-06,0.0002228198,3.18125e-05,8.9841e-06
0 to 2.5k,0.9915120006,0.00022964600000000002,0.0023723401,0.0020110214,0.0003302431,0.0011828184000000001,3.0164900000000003e-05,0.00018286540000000002,1.3924300000000002e-05,0.0005206425,4.2514000000000005e-06,0.00012017330000000001,0.0008992747000000001,4.4173e-06,5.8624e-06,0.0004910458,4.1490600000000006e-05,4.7831300000000004e-05
0 to 2.5k,0.9901618958,0.0005823412000000001,0.0009022763,0.0021096857000000003,0.0003745616,0.002524951,0.00012309890000000001,6.69938e-05,2.39742e-05,0.0006178539,3.4931e-06,0.0001999791,0.0017941324,3.1592e-06,7.7018e-06,0.00046194700000000004,1.4989800000000002e-05,2.6860300000000004e-05
0 to 2.5k,0.9655708075,0.0001307073,0.0015852605,0.0062228567,5.894610000000001e-05,0.0012356441,3.5777e-06,9.27928e-05,3.6897e-06,0.0006750053,3.7919999999999995e-07,0.00011724560000000001,0.023820525000000002,3.268e-07,9.028e-07,0.0004642315,6.337e-06,1.0786100000000002e-05
0 to 2.5k,0.9846420884,0.0001990929,0.0010655797000000001,0.005539631000000001,0.0002866599,0.0013727124,2.11189e-05,0.00025135180000000003,2.4049200000000003e-05,0.0010088822,3.0175999999999997e-06,6.81091e-05,0.0047910088000000005,2.9022e-06,5.3261e-06,0.0006224666,2.03197e-05,7.56765e-05
0 to 2.5k,0.9934794903,0.00018550600000000002,0.0001488157,0.0037748234,0.0002307214,0.0001057547,2.1948900000000003e-05,0.0001310555,8.4296e-06,0.0004137441,1.0732e-06,4.0285500000000006e-05,0.0009949533000000001,1.2561e-06,2.4952999999999996e-06,0.0004289349,1.23426e-05,1.8322200000000002e-05
0 to 2.5k,0.9916860461,0.00021088660000000001,0.0003210422,0.0046826978,0.00019333380000000002,0.0001575161,1.94406e-05,0.0001879552,8.8765e-06,0.0003015237,1.8743e-06,5.906290000000001e-05,0.0017452691,1.6232e-06,3.2069999999999995e-06,0.0003819815,2.47622e-05,1.2935200000000001e-05
0 to 2.5k,0.9977372885,2.42212e-05,2.531e-07,2.5545900000000002e-05,6.258e-07,9.256999999999999e-07,0.0022103535,1e-09,9.53e-08,2.772e-07,6.000000000000001e-09,2.924e-07,1.454e-07,2.8e-09,7.3e-09,4.61e-08,5.5000000000000004e-09,8e-10
0 to 2.5k,0.9973570108,5.952360000000001e-05,0.0004870755,0.0013858938,5.6744900000000006e-05,0.0001421484,3.6467999999999995e-06,4.60321e-05,1.6338e-06,9.111440000000001e-05,2.9420000000000003e-07,1.16827e-05,0.0002337959,2.6529999999999997e-07,4.6509999999999995e-07,0.00011442990000000001,6.2267e-06,2.1045999999999997e-06
0 to 2.5k,0.9986767173000001,4.132240000000001e-05,0.0002166468,0.0006649899,6.0632400000000006e-05,6.921330000000001e-05,3.4631999999999997e-06,3.28946e-05,1.3049e-06,7.006400000000001e-05,3.032e-07,7.1653e-06,7.59401e-05,3.598e-07,4.9e-07,7.00267e-05,4.2492e-06,4.1106999999999995e-06
0 to 2.5k,0.98244977,0.0007479584,0.0010619758,0.005132034000000001,0.0002817415,0.002923371,8.837730000000002e-05,0.00019455860000000002,3.850360000000001e-05,0.0007600222,5.1812e-06,0.0002177989,0.004951484,4.0430999999999995e-06,1.0964400000000001e-05,0.0010758159,2.8530500000000004e-05,2.7669800000000004e-05
0 to 2.5k,0.9899044633,0.0001077277,0.001428439,0.0031741837,9.90794e-05,0.0006562099,4.508099999999999e-06,9.428950000000001e-05,3.6786e-06,0.0004119106,7.621e-07,6.29967e-05,0.0037587711,6.74e-07,1.4765000000000002e-06,0.0002680016,8.648e-06,1.4036500000000002e-05
greater than 1B,0.060714975000000004,0.0120001454,0.0059880083,0.0039588679,0.0091761369,0.0041989568000000005,0.0381420925,0.0018067402,0.014512265100000001,0.0012684462,0.0629693195,0.0084154904,0.0057291486,0.0364988968,0.0027319184,0.0022999432,0.0043123546,0.7252763510000001
0 to 2.5k,0.9942738414000001,9.40762e-05,0.0025860637000000002,0.0013093191,0.00016084860000000002,0.0007021329,5.943599999999999e-06,0.00010081490000000001,5.5739999999999995e-06,0.0001690813,1.6933e-06,2.7911800000000006e-05,0.00038393090000000003,1.8429000000000002e-06,1.9413e-06,0.0001376064,1.4651300000000001e-05,2.2647000000000002e-05
0 to 2.5k,0.9952701926,0.0003582511,0.0004577343,0.0010158631000000001,0.0004737516,0.00036577830000000003,9.808700000000001e-05,0.00021395690000000002,2.4639100000000006e-05,0.0002953675,6.7231e-06,0.0001058107,0.0003844733,5.99e-06,1.0581e-05,0.0008196583,5.32569e-05,3.9921000000000006e-05
0 to 2.5k,0.8231887817,0.0051846411,0.0706049874,0.0187930781,0.0033874477000000003,0.051113888600000004,0.0004803589,0.0041708341000000005,0.0005073122000000001,0.007043893000000001,0.0001606488,0.0013805847,0.0057857418,0.0001546195,0.0002618502,0.006433440800000001,0.0005140324,0.0008339043
0 to 2.5k,0.9791454077,0.0008614663000000001,0.0043749143,0.0033512148,0.0038267623,0.0021038887,0.0007183176,0.0004640216,0.0002741719,0.0007978898,0.0001157879,0.0003792757,0.0009106624,0.0001338898,8.147030000000001e-05,0.0011116035,0.00023969800000000002,0.0011095778
0 to 2.5k,0.9987151623,0.00015454190000000002,6.030300000000001e-05,4.206940000000001e-05,0.00024703400000000003,4.2870799999999996e-05,0.0005543596,1.9574e-06,9.495499999999999e-06,3.2603100000000006e-05,4.3303e-06,2.3168700000000004e-05,4.572820000000001e-05,2.1372e-06,2.0432e-06,4.5773500000000005e-05,2.8819e-06,1.36685e-05
0 to 2.5k,0.9971535206000001,0.0003189668,0.0001156777,0.0005935068,0.0004391012,0.0001140707,0.0001176161,0.0001568342,2.0533300000000002e-05,8.648960000000002e-05,2.2687300000000002e-05,0.0001007305,0.0001294393,2.05631e-05,1.05696e-05,0.00023671680000000002,7.05641e-05,0.00029236670000000003
0 to 2.5k,0.9387369752,0.0016146001000000001,0.0179871041,0.013656390800000001,0.001576755,0.0132080214,0.00021705310000000002,0.0014012672,0.0001910853,0.0019152140000000002,3.6313400000000004e-05,0.0007830485,0.0061380081,3.903780000000001e-05,5.2896200000000004e-05,0.0019600000000000004,0.00022752460000000001,0.0002586177
0 to 2.5k,0.9863324761000001,0.00045578830000000004,0.00044262390000000004,0.0073865382,0.0004936673,0.00034407050000000004,7.2406e-05,0.0005135620000000001,3.6923000000000005e-05,0.00042310700000000004,1.0338000000000002e-05,0.0002016165,0.0024705529000000003,1.05243e-05,1.13968e-05,0.0006160211,8.244260000000001e-05,9.59109e-05
0 to 2.5k,0.9969923496,0.00020133500000000002,0.0003862242,0.0006307097,0.0004137227,0.0002461532,6.66575e-05,0.00013255500000000002,1.50898e-05,0.0001335582,6.8177e-06,9.576490000000001e-05,0.0001652794,7.4894e-06,5.4889e-06,0.00036783730000000003,5.624590000000001e-05,7.66558e-05
0 to 2.5k,0.997315228,0.0001892673,0.0001798653,0.0009804203,9.132230000000001e-05,0.00021879550000000002,2.3324500000000003e-05,8.242380000000001e-05,8.4627e-06,6.85452e-05,4.2638e-06,4.446920000000001e-05,0.0005341367000000001,4.028699999999999e-06,2.1539000000000002e-06,0.0001405716,1.3076200000000002e-05,9.965170000000001e-05
0 to 2.5k,0.9990167618,8.279270000000001e-05,0.0001609841,0.0002909788,6.824430000000001e-05,0.000148942,2.12588e-05,3.36085e-05,5.111e-06,2.06899e-05,1.4653e-06,1.5834800000000003e-05,3.92917e-05,1.7164e-06,1.0719e-06,7.289280000000001e-05,1.1720800000000001e-05,6.637699999999999e-06
0 to 2.5k,0.9983038902,9.247130000000001e-05,0.0001708989,0.0004492866,0.00014462980000000002,0.0001724505,1.68645e-05,5.75491e-05,5.7697e-06,7.92814e-05,1.6229e-06,3.0466600000000004e-05,0.0002638194,1.583e-06,1.5505e-06,0.0001613129,1.2831000000000003e-05,3.3838300000000004e-05
0 to 2.5k,0.8329023719,0.0044279024,0.02970195,0.0517834127,0.0008551219,0.0186386853,0.000229463,0.0006254076,8.70103e-05,0.0103169866,8.8005e-06,0.0033509864,0.0430086665,1.05792e-05,3.6314000000000005e-05,0.0038450845,0.0001039345,6.724010000000001e-05
0 to 2.5k,0.9967131615,0.0002156095,0.0002526507,0.001630247,0.00012110340000000001,0.0001717065,1.9156700000000002e-05,0.00015286880000000002,6.041699999999999e-06,8.94722e-05,3.8679e-06,5.4136200000000005e-05,0.0003194788,3.3912e-06,2.9283e-06,0.0001829856,2.7986900000000005e-05,3.2966900000000004e-05
0 to 2.5k,0.9774506092,0.0014220370000000001,0.005255892900000001,0.0055832705,0.0008191003,0.0023888072000000002,0.0001371889,0.00043092600000000004,3.8734000000000006e-05,0.002383488,6.3333e-06,0.00027672980000000003,0.0014685877,5.872e-06,2.1732300000000005e-05,0.0022156083,7.691570000000001e-05,1.82831e-05
0 to 2.5k,0.8921363354,0.0032850045,0.0044439859,0.0846729204,0.00011098870000000001,0.0026015956,0.000199206,9.120970000000001e-05,1.1857500000000001e-05,0.0043382365,7.079999999999999e-07,0.0010293918,0.0064348648000000005,1.524e-06,4.289799999999999e-06,0.0006065028,2.8190000000000003e-05,3.2638999999999998e-06
0 to 2.5k,0.9946283698,5.848840000000001e-05,0.0018494403,0.0018627675000000002,4.84681e-05,0.0007192821,2.6333000000000003e-06,5.0412600000000006e-05,2.2223e-06,0.0001316917,2.806e-07,1.7142e-05,0.0005021066,3.137e-07,4.3629999999999996e-07,0.0001175468,4.5474e-06,3.9098e-06
0 to 2.5k,0.9969686866,0.0002062517,0.0003863078,0.0006231761000000001,0.0004202774,0.0002491657,6.99122e-05,0.0001299235,1.5276200000000005e-05,0.0001349954,6.918199999999999e-06,0.0001008596,0.0001654635,7.6172e-06,5.5432e-06,0.0003742576,5.72732e-05,7.826090000000001e-05
0 to 2.5k,0.985099256,0.0031349887000000002,0.0002877758,0.0041650631000000006,0.0012745716,0.0004212783,0.0012679606,0.0002858578,9.01372e-05,0.0010563408,5.926110000000001e-05,0.0005838754,0.0006849006,5.4408500000000006e-05,8.832820000000001e-05,0.0009672898,0.0001519832,0.0003267302
0 to 2.5k,0.9997785687,3.39887e-05,1.30073e-05,1.02804e-05,6.36811e-05,1.90016e-05,3.84449e-05,6.199e-07,6.242e-07,1.05182e-05,2.194e-07,6.796899999999999e-06,5.417399999999999e-06,1.397e-07,2.673e-07,1.67825e-05,4.913e-07,1.4415999999999999e-06
0 to 2.5k,0.9970972538,0.0003273851,0.0001165008,0.0005846199000000001,0.00045117320000000004,0.0001151374,0.00012601340000000002,0.00015440280000000002,2.1290700000000003e-05,8.70814e-05,2.3743500000000004e-05,0.0001081311,0.0001336678,2.14423e-05,1.0765000000000001e-05,0.00024180580000000002,7.351120000000001e-05,0.000306041
0 to 2.5k,0.9531432390000001,0.0013441171,0.0030201725,0.014906346800000001,0.007815702800000001,0.0014384121,0.0008130106000000001,0.0013974353000000001,0.0004406142,0.0040888037,0.0001207305,0.0009427528,0.0049954872,0.0001615323,0.0001596647,0.0027770074000000003,0.0004712912,0.0019634829
0 to 2.5k,0.9845050573,0.0002977044,0.0046608974,0.0027813923000000003,0.0001862786,0.0028270055000000002,1.18183e-05,0.0001501858,1.25023e-05,0.0004774474,2.3349999999999997e-06,0.0001281998,0.0034250428,2.7067e-06,3.8273e-06,0.0004532728,1.5571900000000002e-05,5.857490000000001e-05
0 to 2.5k,0.3533426821,0.0519032329,0.0406335145,0.0418366455,0.041537866,0.0662209094,0.0217469595,0.0263128262,0.0193151981,0.0403540544,0.0204420947,0.0158385206,0.0490784645,0.0188084375,0.0169140492,0.032639984000000004,0.0081473682,0.13492715360000002
0 to 2.5k,0.9327266812,0.0022366329,0.0116956607,0.0170038156,0.0014142764,0.0067815641,0.0002089783,0.0016787293,0.0002061855,0.0031702225,8.65688e-05,0.0009947898,0.0179448072,6.80952e-05,0.0001207782,0.0028702726000000003,0.0003771294,0.00041499310000000004
