,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,BEGIN_RANGE,END_RANGE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_YEAR,BEGIN_MONTH,DURATION_seconds,binary_damage
37600,0,0,0,0,1.0,1.0,37.18,-93.29,37.18,-93.29,2018,08,0.0,0
35829,0,0,0,0,1.0,1.0,43.56,-90.88,43.56,-90.88,2018,09,55800.0,0
44143,0,0,0,0,1.0,1.0,41.64,-93.74,41.64,-93.74,2015,07,20400.0,0
21288,0,0,0,0,1.0,2.0,21.8883,-159.4707,22.1468,-159.3093,2008,09,8340.0,0
27446,0,0,0,0,1.0,1.0,38.44,-92.84,38.44,-92.84,2017,04,0.0,0
66323,0,0,0,0,1.0,1.0,40.27,-92.96,40.27,-92.96,2008,07,0.0,0
12945,0,0,0,0,8.0,8.0,38.36,-99.22,38.36,-99.22,2011,05,46800.0,0
48846,0,0,0,0,1.0,1.0,44.2903,-90.8539,44.2903,-90.8539,2009,08,0.0,0
25197,0,0,0,0,1.0,1.0,36.31,-76.22,36.31,-76.22,2014,07,0.0,0
43628,0,0,0,0,3.0,3.0,38.02,-87.3,38.02,-87.3,2013,06,46920.0,0
8911,0,0,0,0,1.0,1.0,40.2361,-123.8333,40.2361,-123.8333,2017,01,122400.00000000001,0
19753,0,0,0,0,0.0,0.0,37.72,-76.52,37.72,-76.52,2018,05,235800.00000000003,0
48428,0,0,0,0,4.0,0.0,37.1465,-87.1522,37.3,-87.13,2011,04,3000.0,0
51756,0,0,0,0,2.0,2.0,33.73,-116.88,33.73,-116.88,2010,08,600.0,0
36801,0,0,0,0,2.0,2.0,40.7295,-79.773,40.7295,-79.773,2018,09,260700.00000000003,0
19559,0,0,0,0,1.0,1.0,42.28,-94.29,42.28,-94.29,2016,05,34200.0,0
1435,0,0,0,0,4.0,1.0,22.1749,-159.3292,21.9623,-159.6533,2014,09,13440.0,0
3496,0,0,0,0,2.0,2.0,41.06,-122.36,41.06,-122.36,2016,12,86400.0,0
51766,0,0,0,0,1.0,1.0,33.71,-117.08,33.71,-117.08,2010,08,3000.0,0
45916,0,0,0,0,1.0,1.0,48.86,-113.44,48.86,-113.44,2014,06,28800.0,0
45662,0,0,0,0,2.0,2.0,36.85,-76.29,36.85,-76.29,2012,08,0.0,0
48028,0,0,0,0,1.0,1.0,37.29,-75.93,37.29,-75.93,2017,08,0.0,0
24500,0,0,0,0,2.0,2.0,34.52,-77.47,34.52,-77.47,2012,05,0.0,0
36607,0,0,0,0,3.0,3.0,34.5,-92.77,34.5,-92.77,2016,08,3600.0,0
29814,0,0,0,0,0.0,0.0,42.42,-92.45,42.42,-92.45,2009,04,172800.0,0
39041,0,0,0,0,0.0,0.0,38.15,-75.95,38.15,-75.95,2016,07,0.0,0
53005,0,0,0,0,1.0,1.0,35.5509,-87.5536,35.5509,-87.5536,2017,07,82800.0,0
44940,0,0,0,0,2.0,2.0,42.65,-91.4,42.65,-91.4,2013,05,15960.000000000002,0
5588,0,0,0,0,1.0,1.0,38.8178,-82.2289,38.8183,-82.1807,2009,05,2400.0,1
18032,0,0,0,0,2.0,2.0,45.69,-93.44,45.69,-93.44,2012,05,0.0,0
30640,0,0,0,0,0.0,0.0,38.37,-75.6,38.37,-75.6,2010,03,57600.0,0
33829,0,0,0,0,1.0,1.0,34.3595,-117.6299,34.3595,-117.6299,2018,08,2100.0,0
47569,0,0,0,0,1.0,5.0,34.56,-112.56,34.61,-112.32,2017,07,1980.0000000000002,0
19518,0,0,0,0,0.0,0.0,47.77,-116.82,47.77,-116.82,2015,06,0.0,0
26544,0,0,0,0,1.0,1.0,41.43,-92.93,41.43,-92.93,2016,07,40800.0,0
30058,0,0,0,0,6.0,6.0,34.5114,-103.8555,34.5114,-103.8555,2014,07,18000.0,0
37213,0,0,0,0,0.0,0.0,36.52,-77.18,36.52,-77.18,2014,09,93600.0,0
54357,0,0,0,0,3.0,3.0,38.6223,-109.5694,38.6223,-109.5694,2010,06,21840.0,0
44251,0,0,0,0,1.0,1.0,42.03,-93.67,42.03,-93.67,2018,06,86400.0,0
75364,0,0,0,0,0.0,0.0,41.77,-93.72,41.77,-93.72,2011,06,86400.0,0
52885,0,0,0,0,3.0,1.0,20.1104,-155.5335,19.479,-155.1599,2009,11,31260.000000000004,0
15983,0,0,0,0,1.0,1.0,43.8,-95.32,43.8,-95.32,2015,08,0.0,0
35772,0,0,0,0,0.0,0.0,40.33,-98.45,40.33,-98.45,2018,09,86400.0,0
20416,0,0,0,0,7.0,7.0,35.3856,-118.5569,35.3865,-118.5524,2015,11,10920.0,0
43724,0,0,0,0,4.0,4.0,31.6091,-87.8719,31.6091,-87.8719,2018,06,1800.0,0
24496,0,0,0,0,0.0,0.0,37.67,-87.55,37.72,-87.48,2013,06,4500.0,0
70627,0,0,0,0,1.0,1.0,44.89,-94.37,44.89,-94.37,2011,08,0.0,0
12850,0,0,0,0,1.0,1.0,41.18,-93.75,41.18,-93.75,2015,07,45360.0,0
52810,0,0,0,0,2.0,2.0,41.73,-92.75,41.73,-92.75,2018,09,86400.0,0
16010,0,0,0,0,1.0,2.0,22.151999999999997,-159.6698,22.1303,-159.3292,2015,08,10260.0,0
48329,0,0,0,0,2.0,2.0,41.06,-122.36,41.06,-122.36,2016,10,86400.0,0
34897,0,0,0,0,1.0,1.0,30.29,-82.99,30.29,-82.99,2016,08,86400.0,0
37100,0,0,0,0,1.0,1.0,29.06,-82.05,29.06,-82.05,2014,11,59160.00000000001,0
26723,0,0,0,0,1.0,1.0,20.9308,-156.5332,20.8491,-156.3355,2008,12,29880.000000000004,0
