BINNED_PROPERTY_DAMAGE,prob_0 to 2.5k,prob_100k to 200k,prob_10k to 20k,prob_2.5k to 5k,prob_200k to 300k,prob_20k to 30k,prob_300k to 400k,prob_30k to 40k,prob_400k to 500k,prob_40k to 50k,prob_500k to 600k,prob_50k to 75k,prob_5k to 10k,prob_600k to 700k,prob_700k to 800k,prob_75k to 100k,prob_800k to 900k,prob_900k to 1B,prob_greater than 1B
0 to 2.5k,0.28221488,0.0721390098,0.0605200678,0.0449335426,0.0457536019,0.0638501719,0.0245495513,0.0246936791,0.0490828715,0.0588354133,0.0107015958,0.0337060839,0.0760893002,0.0030976639,0.0231320523,0.0717788115,0.0019351917,0.032524474000000005,0.0204620156
0 to 2.5k,0.6278515458,0.0023998914,0.09344774480000001,0.1403592974,0.0006820949,0.031063271700000002,0.00022061540000000002,0.0059623136000000005,0.0011144710000000001,0.0138893407,0.00022769900000000002,0.0036579091,0.0707406849,5.8822999999999996e-06,0.00014384090000000001,0.0078504235,2.1481300000000004e-05,0.0001242246,0.00023720500000000002
0 to 2.5k,0.9982191920000001,7.9816e-06,0.0001397177,0.0012379898,5.027e-06,5.930700000000001e-05,2.9839999999999997e-07,1.13628e-05,1.64118e-05,4.00883e-05,6.501e-07,3.7987e-06,0.00020135470000000002,1e-09,1.3648e-06,5.2378000000000006e-05,8e-10,1.7109e-06,1.5693999999999997e-06
0 to 2.5k,0.6751484275,0.037052229,0.0256922524,0.0288964342,0.0228146408,0.02345125,0.0061455052,0.0109051736,0.022302188,0.0278737955,0.0042102132,0.0145522794,0.0284226481,0.0005903394,0.0068563554,0.03988038,0.00040520840000000003,0.010248044500000001,0.0145526305
0 to 2.5k,0.3192294538,0.0530348569,0.0066188877,0.0067808791000000005,0.0503874943,0.007325816000000001,0.0342462771,0.0052437792000000006,0.0785692036,0.0098318746,0.0276520718,0.0098076193,0.007231420400000001,0.010672329000000001,0.0503399074,0.0275373533,0.0033676554,0.13599714640000002,0.1561259478
0 to 2.5k,0.9193076491000001,0.0030070809,0.0084522273,0.017099816400000002,0.0023875479,0.0099342708,0.0002629517,0.0020344465000000003,0.0021764056,0.008853993400000001,0.0001294744,0.0014313661000000001,0.0131428903,4.6715e-06,0.00048138930000000003,0.010540215300000001,2.0608e-06,0.00045912650000000003,0.00029250960000000003
0 to 2.5k,0.4859901667,0.0176513139,0.0006979106,0.0013633952,0.0197259951,0.0005800097000000001,0.0088708261,0.0008905932,0.0510741808,0.0012803511000000001,0.0240327511,0.0018481577,0.0007211394,0.0036898504000000003,0.0274967887,0.0053396118000000005,0.0009853808,0.1170961484,0.2306655049
0 to 2.5k,0.5414032936000001,0.0301190782,0.0140570551,0.0176784042,0.0332744159,0.023210924100000002,0.0250347089,0.0053629219,0.0632654354,0.0161119401,0.010375564,0.0063050585,0.021949777400000002,0.0023980215,0.043295905,0.042558793000000004,0.0005274686,0.0788593441,0.0242118649
0 to 2.5k,0.2639528215,0.0575039424,0.0962618664,0.06789231300000001,0.031062930800000003,0.0926605389,0.016257219,0.0268556587,0.029703281800000002,0.0675427839,0.0071207271,0.0333543085,0.10002163800000001,0.0017750637000000001,0.010919738600000001,0.06910257040000001,0.0015177896,0.013511321500000001,0.012983393900000001
0 to 2.5k,0.6295630932,0.0054437658,0.0778789446,0.1021638289,0.0019902699,0.0419458412,0.00039545700000000005,0.0092564132,0.0020271163,0.029791506000000002,0.0002564205,0.0068271193,0.0732020587,1.16986e-05,0.000295011,0.0183853488,2.4186200000000006e-05,0.0002235542,0.0003184215
0 to 2.5k,0.5245487094,0.0571300872,0.0420057327,0.0374439768,0.028839547200000003,0.034089714300000004,0.0087137418,0.0198006555,0.0303416178,0.0450975634,0.0048594321,0.0291075576,0.0507197604,0.0009694707000000001,0.0093428949,0.049826167500000004,0.0008222857,0.0126266945,0.0137143591
0 to 2.5k,0.9989941716,8.42776e-05,6.70928e-05,0.0003013601,4.9046100000000005e-05,3.6951100000000006e-05,1.4735e-06,2.84274e-05,8.510160000000001e-05,6.77182e-05,1.5022e-06,2.1053600000000005e-05,0.0001254155,1.04e-08,6.9637e-06,9.08185e-05,3.7000000000000005e-09,1.4060700000000002e-05,2.4373100000000002e-05
0 to 2.5k,0.6945973635,0.0098351603,0.0589818209,0.0591867566,0.003163181,0.032338921,0.0005959805,0.0116855698,0.0032501360000000003,0.0296209566,0.00022688690000000002,0.0108990427,0.06651473050000001,1.9402500000000003e-05,0.0004992885,0.0175563097,3.1551100000000004e-05,0.0004238574,0.0005730171
0 to 2.5k,0.9970478415,2.0566200000000003e-05,0.0002507472,0.0018598512,1.45827e-05,0.0001461724,5.146e-07,2.6057400000000002e-05,2.3163900000000004e-05,0.000107336,1.0363e-06,9.5666e-06,0.0003578054,1.9e-09,1.9658e-06,0.00012795770000000002,1.3e-09,2.0781e-06,2.7735e-06
0 to 2.5k,0.5661622286,0.0249543469,0.051555704300000005,0.0573696718,0.0155528383,0.06081654500000001,0.0027407883,0.0153336162,0.013124723900000001,0.053987056000000005,0.0014323589,0.014509328600000001,0.0687898993,0.0001155095,0.003208301,0.045202065300000004,7.404360000000001e-05,0.0029462706,0.0021247852
0 to 2.5k,0.9990038276000001,3.2587700000000006e-05,8.36737e-05,0.0004986133000000001,1.97354e-05,4.190220000000001e-05,7.989e-07,1.5967500000000003e-05,3.88125e-05,4.77961e-05,1.2573e-06,9.164699999999999e-06,0.0001108289,5.3e-09,2.7697000000000003e-06,7.39687e-05,2.6e-09,5.0559e-06,1.30815e-05
